Tweets	id	len	date	source	likes	retweets
“Schiff’s impeachment hearings wasting time when Congress must do real work” https://t.co/4lb9bWrVRL	1200949712087638017	100	2019-12-01 01:28:18	Twitter for iPhone	53685	14923
“Trump did nothing impeachable, day-by-day review of all impeachment hearing testimony shows” @GreggJarrett https://t.co/QbFeEmWkTB	1200949221224001536	131	2019-12-01 01:26:21	Twitter for iPhone	33124	9714
“Sen. Tim Scott Says Trump 'Innocent,' 'No Way' Senate Convicts” https://t.co/P6ONkI8n0P	1200948772253118465	88	2019-12-01 01:24:34	Twitter for iPhone	36083	10461
"RT @WhiteHouse: ""The men and women of our military are totally loyal to our country. And every day I am President, America will always be t…"	1200925350991204353	140	2019-11-30 23:51:30	Twitter for iPhone	0	10776
"RT @GOPChairwoman: Just 8 work days left on Congress' calendar this year.

Instead of attacking @realDonaldTrump, Pelosi should work across…"	1200925229566103552	140	2019-11-30 23:51:01	Twitter for iPhone	0	11077
An incredible experience! https://t.co/n6BNQY6dIx	1200925125169864709	49	2019-11-30 23:50:36	Twitter for iPhone	43765	10693
"RT @TeamTrump: One year ago today, President @realDonaldTrump signed the #USMCA with Canada and Mexico.

It now sits on Nancy Pelosi's desk…"	1200924495139221505	140	2019-11-30 23:48:06	Twitter for iPhone	0	11178
RT @VP: One year ago today, President @realDonaldTrump signed the #USMCA. While this Administration works FOR the American People, Speaker…	1200924279833088000	139	2019-11-30 23:47:15	Twitter for iPhone	0	14176
RT @VP: President @realDonaldTrump’s deregulatory agenda unleashed American ingenuity and we are on path to becoming not just energy indepe…	1200923954942300161	140	2019-11-30 23:45:57	Twitter for iPhone	0	10554
RT @WattersWorld: . @realDonaldTrump won't get the nomination, Trump won't win, Stock Market will tank, Russia Collusion...These are the st…	1200923794057187328	140	2019-11-30 23:45:19	Twitter for iPhone	0	4552
RT @TeamTrump: President @realDonaldTrump will host a Keep America Great rally on Tuesday, December 10, at 7:00 pm (EST) at the Giant Cente…	1200923492599902208	140	2019-11-30 23:44:07	Twitter for iPhone	0	5485
Nancy Pelosi won’t put it up for a vote. Has delayed it for 6 months. See you in #2020! https://t.co/lOrWm9u10r	1200923352698904577	111	2019-11-30 23:43:34	Twitter for iPhone	49929	15596
I will be representing our Country in London at NATO, while the Democrats are holding the most ridiculous Impeachme… https://t.co/UuVlxzywyZ	1200922099356962817	140	2019-11-30 23:38:35	Twitter for iPhone	76420	19802
Robert Johnson knows business &amp; politics. He also understands lowest African American Unemployment in U.S. history! https://t.co/NalNOFG53T	1200919246714425347	143	2019-11-30 23:27:15	Twitter for iPhone	31446	8898
RT @thehill: JUST IN: Top Judiciary Republican calls on committee to expand list of impeachment witnesses ahead of next week's hearing http…	1200917964301709312	140	2019-11-30 23:22:09	Twitter for iPhone	0	4166
And the Do Nothing Democrats want to impeach President Trump? https://t.co/i3tPDJtuuA	1200917908135825408	85	2019-11-30 23:21:55	Twitter for iPhone	54735	13002
Thank you to @BuckMcNeely1 and Oliver North for the nice words and thoughts in an excellent interview. Best wishes!	1200915174707859457	115	2019-11-30 23:11:04	Twitter for iPhone	25792	5813
RT @CLewandowski_: Kamala Harris aide says in resignation letter: 'I've never seen staff treated so poorly' | TheHill. If this was the ⁦@re…	1200899182598524928	140	2019-11-30 22:07:31	Twitter for iPhone	0	14950
RT @PressSec: Well said. There is so much work left do be done. Let’s move past this impeachment farce, follow the lead of @realDonaldTrump…	1200898671862259718	140	2019-11-30 22:05:29	Twitter for iPhone	0	8747
https://t.co/AUoFQexhR4	1200868680491569157	23	2019-11-30 20:06:19	Twitter for iPhone	40578	12373
